id,time,content
22341038239,2025-02-05 10:54:35,商品已收到，内外包装完好无损，与描述相符，老品牌，值得信赖，含量科学，品质不错，产品质量很好，分量很足，值得购买，购物满意！
22322146732,2025-01-26 14:06:29,一直给父母买这个品牌的保健品，辅助治疗，能提高抵抗力。吃着挺好的，辅助治疗，母亲吃着挺好的，糖尿病控制的很好。值得推荐。
22378846871,2025-02-14 14:52:58,快递小哥送货上门及时态度热情服务优质包装很好质量非常棒吃的效果很好哦方便携带啊！提高免疫力哦值得信赖购买的哦卖家发货快得很谢谢你们的热情相待哈
22371184694,2025-02-12 17:21:26,一下子买了好几单，百花牌蜂胶软胶囊是个老牌子，以前就买过，吃过一段时间后来忘记买了，现在又给老爸安排上了，软化血管，降低三高，希望有用吧，多吃点总是好的。
22371183483,2025-02-12 17:21:50,百花牌蜂胶软胶囊是个老牌子，以前就买过，吃过一段时间后来忘记买了，现在又给老爸安排上了，软化血管，降低三高，希望有用吧，多吃点总是好的。好评。
22307421607,2025-01-22 18:55:55,前后买了几十瓶了，老妈说有效果，改善血脂，增加免疫力，挺好的，一瓶能吃上两三个月，一天也就二三块钱，不贵！京东物流很快，次日就到，很方便！
22269137490,2025-01-19 16:40:18,包装很好，物流很快。大品牌，值得信赖。日期新，价格合适，性价比价较高。我一直买百花牌产品，蜂胶、蜂蜜、花粉片。春节前搞活动，一下买了3瓶。
22204478356,2025-01-13 21:49:36,蜂蜜水非常满意的一次购物，产品外观和质量都很棒，物流速度快，商家服务专业。跟描述的是一样的，很显高档，物美价廉，要买的朋友可以下单噢！
22120179754,2025-01-07 14:11:47,吃了好多年了。不过也不是天天都吃，也不是一天吃几次。蜂胶营养价值高，有一定的保健作用，还有杀菌效果。百花是大品牌，现在的价格便宜，买一瓶放着。京东物流是真的很快，应该赞一下
21958452431,2024-12-17 17:00:04,包装很好，物流很快。今晚10点前下单，明天早上9点左右就到货了，没想到如此快速。百花大品牌，值得信赖，我的蜂蜜，花粉，蜂胶全是百花牌。坚信百花，没错的。
21874796696,2024-12-01 19:32:50,这个水特别好喝，味道不错，不是特别甜，可以接受，配料简单，孩子特别喜欢，大品牌值得信赖，京东送货也别的快，服务态度很好
21866868312,2024-11-30 08:37:24,这个蜂蜜水的设计也太适合上班族了！拧几下酸酸甜甜的柠檬蜂蜜水瞬间就get！超级方便！而且不齁甜 蜂蜜的甜和柠檬的酸是刚刚好的程度！清清爽爽的也适合吃零食解腻！还补充了vc
22141411112,2025-01-09 13:09:41,快递小哥送货上门及时态度热情服务优质包装很好质量非常棒加工精细外观很细腻哈吃的效果很好哦提高免疫力啊！保质期内哦推荐购买哈
21943571518,2024-12-14 16:19:56,百花牌蜂胶，老牌子了，值得信赖。坚持吃了很久了，以前是那种一小瓶的，一滴几滴的吃，味道有些一言难尽，又涩又辣。现在这种胶囊吃起来挺方便，也便于携带。据说蜂胶对糖尿病有辅助治疗作用，家里的患者们都在坚持吃。
